numItem,lenData,numPack,numAgg,alpha,interType,allowIntersection,Average,Std Dev,Min,Max,Median
19,4,1,8,3,CPI,0,8.59344,.15129,8.24682,8.79275,8.59540
20,4,1,8,3,CPI,1,13.47436,.06332,13.3533,13.5355,13.48715
21,4,1,8,3,CPI,0,24.03965,.09027,23.9113,24.2194,24.02305
22,4,1,8,3,CPI,1,46.31563,.27513,45.9397,46.8684,46.21120
23,4,1,8,3,CPI,0,92.69504,.43887,92.0735,93.6191,92.65680
15,4,1,16,3,CPI,1,3.66591,.06942,3.58688,3.79453,3.64781
16,4,1,16,3,CPI,0,5.32461,.09208,5.18148,5.43714,5.33205
17,4,1,16,3,CPI,1,7.60583,.18143,7.46366,7.89996,7.49976
18,4,1,16,3,CPI,0,7.86666,.16140,7.68531,8.12526,7.77555
19,4,1,16,3,CPI,1,8.42819,.09082,8.23158,8.52501,8.46272
20,4,1,16,3,CPI,0,13.46072,.05513,13.3416,13.526,13.46260
21,4,1,16,3,CPI,1,24.05360,.13315,23.8431,24.2836,24.02600
22,4,1,16,3,CPI,0,46.36251,.24543,46.0543,46.9711,46.30765
23,4,1,16,3,CPI,1,92.76206,.66975,91.7932,93.9738,92.78550
15,4,1,32,3,CPI,0,3.63837,.05319,3.51638,3.70393,3.63012
16,4,1,32,3,CPI,1,5.34544,.13099,5.20071,5.64494,5.33258
17,4,1,32,3,CPI,0,7.53840,.11344,7.4413,7.86315,7.52409
18,4,1,32,3,CPI,1,7.85661,.16037,7.70485,8.0827,7.74537
19,4,1,32,3,CPI,0,8.46865,.10954,8.21506,8.61394,8.48692
20,4,1,32,3,CPI,1,13.49281,.04549,13.4253,13.5803,13.48395
21,4,1,32,3,CPI,0,23.89888,.18528,23.622,24.2702,23.86750
22,4,1,32,3,CPI,1,46.37098,.21617,46.0334,46.7566,46.33810
23,4,1,32,3,CPI,0,92.41233,.52010,91.6348,93.2954,92.26955
15,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
16,4,1,8,3,CIH,0,0,0,N/A,N/A,N/A
17,4,1,8,3,CIH,1,0,0,N/A,N/A,N/A
18,4,1,8,3,CIH,0,10.98787,.08683,10.8804,11.1123,10.97940
